orderid,price,ordertype,note,guestid,date
1,579,onsite,jyola  ttah pa,147,2023-09-09
2,291,onsite,ettdo  cgce mh,179,2024-09-08
3,106,delivery,xoycp  djnt ko,394,2023-05-03
4,732,onsite,ykryv  jksa wx,283,2023-03-05
5,840,onsite,vkqaf  mbpp gx,120,2023-11-26
6,398,delivery,pqwoh  fhdb pk,435,2023-11-09
7,968,onsite,irgxo  wntq zz,403,2023-10-15
8,584,delivery,mkktb  fzli ki,327,2023-04-04
9,176,delivery,adjjd  ysnb pq,66,2024-11-20
10,552,delivery,bexwm  fftg zc,412,2023-01-01
11,743,onsite,uctpg  uwiy rc,381,2023-05-02
12,992,delivery,bihnv  qhjl we,445,2024-06-05
13,590,onsite,vmtct  fnjv gg,336,2023-09-24
14,135,delivery,jxpky  ejgu cy,408,2023-01-05
15,942,delivery,eemcp  izqe vz,29,2023-03-30
16,395,delivery,eyufn  gjgk uh,223,2023-12-31
17,752,delivery,xhkrm  phkp go,26,2023-01-19
18,930,delivery,mdvxz  ojft rg,343,2024-05-11
19,992,delivery,exadr  idlw mc,136,2023-10-07
20,284,delivery,zucem  vhjj sv,321,2024-02-10
21,215,delivery,idfnj  vygw wu,1,2023-04-17
22,640,onsite,cvhtg  tezs zu,80,2023-08-11
23,926,delivery,ehmzh  ahug ab,34,2024-04-18
24,189,onsite,zsuje  brxm nv,411,2024-11-20
25,683,delivery,bigds  fazm af,266,2023-01-23
26,706,onsite,ujywl  jwwn vo,189,2023-05-06
27,485,delivery,fkkef  gdqx qe,274,2023-10-30
28,725,delivery,rqpjt  xfqk im,9,2023-09-08
29,148,delivery,quqgd  qylj tu,209,2024-10-12
30,115,delivery,ijfoh  nlpf rz,276,2023-10-05
31,691,delivery,dtkrr  mkvd kr,426,2024-02-25
32,883,onsite,nqflf  mvbm gi,442,2024-06-07
33,299,delivery,ebjri  zrir xv,440,2024-01-26
34,610,delivery,cselh  jmmf uc,462,2023-01-20
35,625,delivery,vwwfa  xqld tz,374,2024-01-07
36,274,delivery,qnknt  tywc ro,460,2023-12-15
37,357,delivery,jnvbd  xsbu ce,247,2023-06-04
38,272,delivery,fzgcd  xdvb hi,333,2024-04-15
39,639,delivery,pbaux  fjxu du,226,2024-10-09
40,866,delivery,eyzxd  qjqe bc,445,2022-12-06
41,821,delivery,dvflk  vbgz oj,178,2023-06-05
42,587,delivery,dlnua  vavs pd,342,2024-09-12
43,186,onsite,cpnia  wejp zx,484,2023-04-15
44,230,delivery,yqdoa  jhto ok,199,2023-04-21
45,628,onsite,sytpj  avgx bc,39,2024-09-29
46,766,onsite,qppbu  zvao ve,186,2024-02-19
47,657,onsite,izkrz  rsxw ef,2,2023-10-30
48,571,onsite,rubax  lqtf vh,162,2024-03-28
49,309,onsite,stczo  iula zz,317,2024-02-05
50,908,delivery,yzrou  bsxi gw,18,2024-02-18
51,795,onsite,vkigz  lqwr pm,44,2023-10-30
52,590,onsite,otqua  inmu lm,294,2024-05-18
53,163,onsite,zmvtw  frxf ce,300,2024-08-27
54,797,onsite,wzjre  wqcv xz,7,2022-12-21
55,478,onsite,egytu  izau vt,130,2024-07-04
56,666,delivery,dzmar  fuxb kz,178,2024-09-11
57,812,onsite,vloxz  lfxp wb,449,2024-05-02
58,148,onsite,upzkb  ysou no,102,2024-02-16
59,749,onsite,vgbsz  axit qt,453,2024-10-17
60,888,delivery,ywnva  mprp tj,398,2024-02-23
61,838,onsite,bhlur  ibga sm,175,2024-03-28
62,918,onsite,hdccd  svxs et,336,2023-01-14
63,100,onsite,bosqp  rwoi wd,305,2024-10-23
64,156,delivery,iamig  dkmw vf,351,2024-10-20
65,631,onsite,auozj  kxgy rv,311,2024-02-15
66,690,delivery,pwwom  qvuv qo,212,2022-12-19
67,309,onsite,jvrfd  abzq rv,423,2024-09-23
68,936,onsite,vqfcq  frad vt,225,2024-08-17
69,696,onsite,tfqal  wzis ip,193,2024-03-11
70,125,delivery,wtide  ghxc jp,209,2023-01-02
71,242,delivery,ntnxa  hrmw xu,253,2024-10-27
72,304,delivery,jhthk  fwzo bw,208,2023-02-25
73,7,onsite,ifacm  eofp pn,13,2024-07-05
74,774,delivery,bnjpp  bcqk wh,111,2023-01-01
75,13,delivery,pxdcl  vfoj cg,450,2024-09-05
76,214,onsite,enclk  ontw fz,120,2023-06-15
77,999,delivery,axsft  gnzp jb,278,2023-01-21
78,479,delivery,zsbix  tmbc dl,361,2024-06-10
79,805,delivery,azfwe  aoyu zq,137,2024-09-26
80,19,delivery,qlmco  jjfd ig,116,2023-10-28
81,657,delivery,pnync  bnqj xz,180,2023-12-08
82,388,onsite,uvxzi  lfue dj,305,2023-06-30
83,912,onsite,rtdcr  qcsy pr,188,2024-05-28
84,108,delivery,qymbx  jtax eg,369,2023-09-26
85,927,delivery,xxvqr  rwfu ow,488,2024-05-03
86,178,onsite,fjrij  ajqm zl,415,2024-03-31
87,795,delivery,pqiru  pwdz uz,460,2024-11-04
88,165,onsite,hdoac  kxuy tg,362,2024-02-18
89,771,onsite,neqdp  lyxg rc,277,2023-06-16
90,762,onsite,zpxqm  jzyh lt,295,2023-01-19
91,265,onsite,lcrmf  kgzu jc,46,2023-02-10
92,527,delivery,xwjwn  hotz tt,16,2024-07-30
93,324,onsite,dherr  iupc cv,105,2023-10-06
94,394,delivery,wovuw  fhhd ka,306,2023-03-18
95,297,onsite,iescb  iple vs,61,2023-01-05
96,386,onsite,cbwzs  kwog ki,119,2024-09-09
97,369,onsite,jtiqf  fqwv ii,131,2023-12-12
98,770,delivery,uqcxs  zwjk qk,309,2022-12-20
99,623,delivery,ashim  kvlu se,230,2024-09-16
100,936,delivery,oblef  ayhn hl,451,2024-07-03
101,496,delivery,qosyd  fxwk kd,464,2024-03-15
102,751,onsite,zmqav  drec gp,238,2024-08-23
103,656,delivery,iftuc  euvv wd,275,2023-07-15
104,978,onsite,nbhea  jfoe xu,177,2023-11-15
105,55,onsite,ealst  gtor bn,403,2023-12-27
106,126,onsite,noefc  lqck dg,490,2024-06-01
107,537,onsite,pnqcl  glbv xs,265,2023-04-13
108,996,onsite,zicly  fzpu zv,246,2022-12-26
109,583,delivery,umcdy  xewa tg,149,2024-06-26
110,494,delivery,vdyti  skpr le,397,2024-07-16
111,943,onsite,utbsi  lafz ok,43,2023-11-15
112,639,onsite,patpf  gnlh zn,91,2023-08-19
113,122,delivery,bbvrp  lmvy wy,229,2024-08-21
114,614,delivery,hqlic  gmdh iz,489,2023-05-07
115,51,onsite,lzrro  wjey ls,67,2024-04-10
116,8,delivery,hhvfx  awos fc,161,2024-07-21
117,702,onsite,wkggj  rcwa ki,77,2024-08-22
118,138,onsite,dmvfc  gaws ac,185,2024-04-21
119,575,delivery,mshcr  gmry dq,451,2022-12-31
120,326,delivery,bfant  rvxo ib,28,2024-02-28
121,748,onsite,kilgb  yekb an,138,2023-01-19
122,628,onsite,mcnpb  demm py,295,2023-06-03
123,822,onsite,cnqcf  gsmg az,349,2023-05-27
124,755,delivery,jaxtn  ajky ho,281,2023-01-31
125,956,delivery,zewmm  aorp ca,335,2023-07-04
126,953,onsite,glhfd  zuia vk,192,2024-01-29
127,251,delivery,oewdy  xuma bd,421,2023-04-10
128,134,onsite,rwzlv  xaqk wz,161,2024-07-15
129,859,onsite,kqsel  myyq as,175,2024-10-23
130,784,onsite,nwaqw  pzdr fo,174,2023-01-01
131,44,onsite,bjzdz  znvt kv,22,2024-11-25
132,71,delivery,napsi  nvco xc,339,2023-02-10
133,926,onsite,ldwdy  esne jl,202,2024-07-12
134,390,onsite,cuvcn  swxh fw,449,2024-09-19
135,263,onsite,zxwll  hgoi qs,59,2024-01-24
136,860,delivery,akfnf  zxfd is,137,2024-03-04
137,729,delivery,raayr  idvv hz,120,2023-06-28
138,354,delivery,hirmj  ffuf ck,45,2023-06-10
139,116,delivery,bskom  amus hn,60,2023-05-23
140,804,delivery,rtblo  chcj ti,194,2024-10-13
141,634,onsite,revnr  fxwn ex,76,2024-01-24
142,355,onsite,aamyt  mpys th,286,2024-09-06
143,625,onsite,eorwq  lxbi ei,139,2023-05-03
144,937,delivery,ezzgd  kbsf tn,490,2024-03-24
145,717,onsite,ueihs  kfnw nh,180,2023-03-30
146,131,onsite,pllif  sbkh dj,307,2024-04-18
147,683,delivery,skmmf  ujxv ik,69,2024-01-16
148,523,onsite,opilr  jhqb nq,419,2023-03-07
149,910,delivery,dathg  kacv at,214,2023-07-18
150,29,delivery,auxvl  uakg kv,291,2023-06-18
151,254,delivery,ivyga  kawj tt,109,2023-05-25
152,67,onsite,kkals  fqbj py,136,2024-03-26
153,338,delivery,bgvia  ajyv ox,166,2023-11-30
154,338,delivery,apiss  gmkk bd,56,2023-12-16
155,797,delivery,gmhlz  xcdf wy,338,2024-03-04
156,765,onsite,xcnre  tljr bt,368,2024-03-10
157,335,onsite,fachw  mctl cc,57,2023-12-09
158,404,onsite,fyezq  fjvi cb,123,2023-05-20
159,224,delivery,tfszo  zalp mv,108,2023-10-25
160,566,delivery,junfy  iurk jq,355,2023-06-14
161,733,onsite,xhbaq  uoui lu,334,2024-01-07
162,784,onsite,cnbwl  rilz yo,349,2024-01-04
163,437,onsite,nsnnm  quqw ia,32,2023-06-26
164,444,onsite,iafkq  vilh kg,410,2024-05-03
165,376,onsite,nzudo  dwnv zv,133,2024-08-25
166,6,delivery,tdpzw  gwic wk,326,2023-08-22
167,938,delivery,jobnx  kmyt yx,234,2024-05-01
168,859,delivery,nplhz  bezq un,168,2023-01-22
169,390,delivery,srapg  njwv dw,71,2023-12-08
170,204,delivery,ruswq  semt yz,57,2024-09-29
171,186,onsite,gfgcl  myqa ak,75,2024-06-07
172,647,delivery,dwtpy  eyhv rm,231,2023-10-03
173,904,delivery,obnrp  zpou nr,388,2024-07-03
174,867,onsite,bosox  nepz hi,460,2023-05-28
175,246,onsite,aujqd  rosb xh,39,2023-10-08
176,602,delivery,txfpu  tdtj cj,272,2024-02-02
177,334,onsite,fpqty  rslf tm,336,2022-12-29
178,361,delivery,zdujm  xwxk ts,469,2023-03-25
179,700,onsite,ssccv  jdef cc,148,2023-01-10
180,776,onsite,xnhii  ejqh ow,353,2024-06-19
181,959,delivery,apcix  pvjn lr,423,2022-12-04
182,886,onsite,ynkxh  pkxc mz,191,2023-07-13
183,30,onsite,tigjt  hpib vp,432,2024-07-18
184,429,onsite,aqosv  pkna ry,352,2023-08-29
185,438,delivery,nxedm  yoon ks,190,2024-05-07
186,489,onsite,nssxu  emzn fm,264,2024-04-26
187,757,onsite,owogp  wyed np,401,2024-05-30
188,319,delivery,xmvzt  tolp zo,313,2024-08-18
189,885,delivery,vykvu  whia er,25,2024-06-07
190,767,onsite,pxzlm  fjcn jv,39,2023-05-22
191,629,delivery,oxrto  kutz dk,389,2024-05-31
192,992,delivery,odevs  fjii at,246,2024-03-05
193,24,delivery,wjnwa  dxgh dp,479,2023-04-22
194,741,onsite,qrtlu  hafw ve,402,2024-07-29
195,594,delivery,gyddv  ejqn hr,177,2023-08-21
196,142,delivery,gnzwb  xsut cd,191,2023-02-05
197,357,delivery,atxgu  lpfh xb,97,2024-03-13
198,945,onsite,qizap  izwm ax,400,2024-05-11
199,395,onsite,wsuen  ksnb pp,107,2023-05-28
200,376,onsite,lvqzb  fsvv wu,46,2024-08-11
201,12,delivery,srztc  bkfp wq,273,2023-04-14
202,279,onsite,epstw  leez wb,159,2023-03-19
203,16,onsite,yztjc  cfbp kz,481,2023-02-27
204,293,onsite,bvpfa  caoe os,409,2024-04-22
205,924,onsite,thwan  jnpf cl,217,2024-10-01
206,328,onsite,ccsrw  xwvo we,419,2024-06-11
207,596,onsite,swtvr  dtjx un,196,2024-11-11
208,173,delivery,gqyjb  eqkh lz,250,2023-09-23
209,895,onsite,rbysf  fqnt cu,120,2023-12-02
210,76,onsite,dyyfh  noey el,251,2023-01-05
211,832,delivery,yzpon  cmwp fp,310,2023-01-15
212,90,delivery,uhglt  grgm bm,62,2024-07-25
213,408,onsite,bmgjt  awqf zk,274,2023-08-25
214,344,onsite,tlwvc  lkyu ea,63,2023-11-24
215,556,delivery,ntaka  kzki mf,114,2023-06-01
216,175,onsite,jbniw  zetm te,18,2023-03-13
217,657,onsite,lmhge  lxcm dl,54,2023-12-20
218,289,onsite,ojtwm  utqc hg,47,2023-08-02
219,727,onsite,ogudi  sktl nb,395,2024-05-12
220,553,delivery,xvqyl  uyed ir,281,2023-10-13
221,336,onsite,uxvfa  mkra ei,73,2024-09-14
222,362,delivery,fsffp  vdny ne,252,2024-01-26
223,445,delivery,myiqg  jmpx ox,188,2024-01-15
224,515,delivery,qaajy  bvag ty,254,2024-03-11
225,24,delivery,oonnx  nzhn jn,358,2024-03-23
226,540,delivery,kgjof  derl lm,312,2023-03-22
227,791,delivery,gyxis  kxsn yr,7,2023-09-25
228,66,onsite,iiiyh  auwz pi,147,2023-11-20
229,886,onsite,uanar  rnnw ng,255,2024-11-01
230,355,onsite,vtkpp  whji ot,305,2023-03-04
231,542,onsite,hzjjn  njdq pi,257,2024-08-24
232,524,delivery,ompla  rseg nl,157,2024-11-17
233,318,delivery,vglvj  vole bf,205,2024-09-06
234,555,onsite,xsixm  fyzo dj,447,2023-01-30
235,990,onsite,hxhoi  hjzk bf,360,2023-01-23
236,463,delivery,cdxsv  nyuv le,46,2024-08-23
237,574,delivery,ktpyf  oppd pp,193,2023-09-26
238,551,delivery,xyrjy  jzgy mn,353,2024-01-13
239,112,onsite,jminf  zygb kf,58,2024-01-14
240,264,onsite,eebfy  gikm vg,57,2023-06-04
241,385,delivery,wfnlz  uenh er,295,2023-04-26
242,527,onsite,nsbwh  hrix om,91,2023-05-28
243,845,delivery,thvan  bznx fi,456,2023-05-09
244,403,delivery,pnedu  baph fr,414,2022-12-18
245,134,delivery,gxkmg  tvyd pv,219,2024-05-06
246,1000,onsite,dfcjl  plfn ky,245,2024-08-10
247,944,delivery,yglnj  jwhx dt,461,2023-12-30
248,831,onsite,pfqgy  jctr bs,301,2023-08-05
249,786,delivery,tosqv  gemq wk,345,2023-10-21
250,603,onsite,jvdmm  jgim lr,478,2024-08-17
251,173,delivery,awtze  avex dx,446,2022-12-24
252,79,onsite,bnkgn  mxbl ns,87,2024-10-03
253,30,delivery,jmmqe  gmzx wo,27,2023-04-09
254,486,onsite,xgcyf  lqoi dk,386,2024-07-21
255,475,delivery,vzuqx  fcfs ii,396,2023-04-03
256,614,delivery,hompi  nxre cq,280,2024-05-01
257,845,delivery,otoze  vfqq hu,85,2023-10-11
258,934,onsite,devov  tlow ej,39,2024-08-22
259,956,delivery,jkqdh  eqmb vd,340,2023-08-08
260,163,onsite,lczzj  lrjk nw,356,2023-12-21
261,865,delivery,tmvit  acqr iv,387,2023-12-06
262,355,onsite,yszrw  xapp ij,447,2024-11-13
263,842,delivery,ulmto  gzuf xo,296,2022-12-06
264,768,onsite,extdz  qndz tg,429,2024-02-16
265,144,onsite,dmdoq  jvds qq,465,2024-05-08
266,291,delivery,zblhc  nsmf nl,338,2023-10-15
267,760,delivery,vfcff  cjxd le,399,2022-12-29
268,189,onsite,wcrrd  uoxt sf,40,2023-04-04
269,250,delivery,hwtds  qfab zc,328,2022-12-19
270,5,delivery,vnsas  ltkb su,431,2024-05-17
271,796,delivery,nnqsq  jaax to,10,2023-02-10
272,884,delivery,nwula  sjrw ua,7,2022-12-09
273,59,delivery,dkqro  gjzg la,369,2024-07-31
274,895,onsite,bgzzt  buad cx,87,2023-06-02
275,513,onsite,oujfv  rhuf ee,75,2023-05-16
276,121,onsite,cwklh  cbxx vc,166,2024-01-13
277,737,delivery,wbvvu  nrwz bj,59,2023-09-11
278,713,onsite,vkjaj  dswv bo,482,2024-01-22
279,908,delivery,vwltj  gouz kz,217,2024-02-08
280,406,delivery,zosyu  uipd lz,330,2024-11-29
281,284,onsite,dokor  knpm gs,99,2024-05-07
282,90,onsite,upgoa  rsjk tk,143,2023-02-13
283,996,onsite,ghlwf  xxkr lc,235,2023-01-26
284,798,onsite,kdcyi  iwxx fq,89,2023-05-21
285,136,onsite,iddio  dzhr iu,104,2023-04-30
286,271,onsite,bnivh  wruc mm,250,2023-08-15
287,813,delivery,cdhkv  aaxy co,48,2023-05-24
288,57,delivery,nrwti  tmmo ny,224,2024-04-13
289,399,onsite,jmltp  qgdh hi,356,2023-05-07
290,155,delivery,hfmmn  ygvf by,212,2023-12-29
291,796,onsite,aauym  vqbl kw,321,2024-08-15
292,887,onsite,qajvx  troy sw,304,2023-08-28
293,398,onsite,uiprq  alzt uv,497,2024-03-30
294,492,delivery,yinto  rrxp yf,444,2023-07-19
295,257,onsite,znolm  znkp gn,302,2023-11-23
296,707,onsite,joaxn  ycqf md,14,2023-02-02
297,253,delivery,ncncu  uocl sv,121,2024-08-31
298,420,onsite,vkjvu  qrdd hd,139,2024-05-25
299,598,onsite,pulhe  mlxk gs,142,2024-02-11
300,558,onsite,itkqw  rkrj ci,351,2023-11-21
301,541,delivery,yuoxr  arvn ls,380,2024-01-16
302,393,delivery,ayotj  segn uy,30,2024-03-25
303,110,onsite,vtqka  fyaf ru,207,2023-07-01
304,260,delivery,mgfoh  aalb yc,137,2024-08-12
305,944,onsite,plebb  rhrx ta,236,2023-11-16
306,721,delivery,nabqt  jfwj hx,462,2023-07-19
307,402,onsite,ujxfc  rfnv dd,232,2023-12-14
308,372,onsite,pifgy  skwu fi,277,2023-01-21
309,730,delivery,vtxwh  qzkt hy,124,2024-03-19
310,562,delivery,jjbtp  uxom fz,81,2023-03-09
311,64,onsite,hqovc  otmg np,344,2023-07-24
312,620,onsite,utnig  dqqf yc,303,2024-09-06
313,389,onsite,zmukc  sqmz kx,161,2024-05-02
314,152,onsite,umoql  xkfz bb,133,2024-03-24
315,458,onsite,spmpy  xucp fa,361,2024-06-19
316,451,delivery,pxiuv  yhwn ci,425,2023-03-31
317,623,onsite,gfpyl  jeer ek,254,2023-12-25
318,418,onsite,yinaz  hvuh sk,486,2023-06-04
319,605,onsite,dhvsu  vxam xy,410,2023-01-06
320,548,delivery,uoote  hvxy uw,188,2024-11-12
321,310,delivery,recgl  efjb si,396,2023-02-17
322,969,delivery,vubho  ogvu mj,483,2024-08-29
323,291,delivery,bgskl  ydnq zv,134,2022-12-12
324,716,onsite,zlraf  jmob tx,338,2023-04-16
325,254,onsite,cjuua  leil it,214,2024-07-28
326,91,onsite,bunos  gfry ep,367,2024-07-10
327,791,delivery,wfrjq  flqw xo,94,2023-06-08
328,824,onsite,pwbgw  xhmk hq,19,2023-11-10
329,958,delivery,onymv  hbfq pq,136,2024-08-27
330,829,delivery,zlcwa  afnh eg,327,2024-08-15
331,221,onsite,cizqn  vumm um,37,2024-03-23
332,984,delivery,mtbie  owle yr,299,2024-12-03
333,970,delivery,iunon  ojky gt,178,2023-02-07
334,673,delivery,oawab  wcpl dg,190,2023-04-05
335,227,delivery,jtxub  cxto ai,477,2024-04-21
336,161,delivery,lywep  jstb do,471,2024-10-05
337,620,delivery,hyqym  lubq ep,128,2024-09-06
338,924,onsite,kjxfh  uelv dn,24,2023-05-07
339,347,onsite,pbgrt  xogx cx,261,2023-12-06
340,745,delivery,avmwv  uwpc mi,10,2023-01-11
341,89,onsite,ldpki  ezym gs,366,2023-01-27
342,758,onsite,kyoht  unem fo,146,2024-10-03
343,685,onsite,pjjxo  ahbh ni,17,2023-08-23
344,276,delivery,httnv  mvbr re,149,2023-01-07
345,965,delivery,atltc  modd wf,487,2023-07-19
346,229,delivery,uhmqe  wskh li,486,2023-11-03
347,553,onsite,bdfen  gkup qj,415,2024-09-25
348,194,delivery,ommsq  lvex gx,47,2024-02-02
349,741,onsite,naqfe  utbs lu,9,2024-06-01
350,262,delivery,qgmsb  txng hm,57,2024-05-09
